model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
Content-Based,2193,40,0.0,0.0,0.0,4,80
Content-Based,2193,80,0.0,0.0,0.0,4,80
Content-Based,5128,5,0.0,0.0,0.0,12,80
Content-Based,5128,10,0.0,0.0,0.0,12,80
Content-Based,5128,20,0.0,0.0,0.0,12,80
Content-Based,5128,40,0.0,0.0,0.0,12,80
Content-Based,5128,80,0.0,0.0,0.0,12,80
Content-Based,2301,5,0.0,0.0,0.0,8,80
Content-Based,2301,10,0.0,0.0,0.0,8,80
Content-Based,2301,20,0.0,0.0,0.0,8,80
Content-Based,2301,40,0.0,0.0,0.0,8,80
Content-Based,2301,80,0.0,0.0,0.0,8,80
Content-Based,168,5,0.0,0.0,0.0,4,80
Content-Based,168,10,0.0,0.0,0.0,4,80
Content-Based,168,20,0.0,0.0,0.0,4,80
Content-Based,168,40,0.0,0.0,0.0,4,80
Content-Based,168,80,0.0,0.0,0.0,4,80
Content-Based,3252,5,0.0,0.0,0.0,3,80
Content-Based,3252,10,0.0,0.0,0.0,3,80
Content-Based,3252,20,0.0,0.0,0.0,3,80
Content-Based,3252,40,0.0,0.0,0.0,3,80
Content-Based,3252,80,0.0,0.0,0.0,3,80
Content-Based,5253,5,0.0,0.0,0.0,15,80
Content-Based,5253,10,0.0,0.0,0.0,15,80
Content-Based,5253,20,0.0,0.0,0.0,15,80
Content-Based,5253,40,0.0,0.0,0.0,15,80
Content-Based,5253,80,0.0,0.0,0.0,15,80
Content-Based,3453,5,0.2,0.045454545454545456,0.43067655807339306,22,80
Content-Based,3453,10,0.1,0.045454545454545456,0.43067655807339306,22,80
Content-Based,3453,20,0.05,0.045454545454545456,0.43067655807339306,22,80
Content-Based,3453,40,0.025,0.045454545454545456,0.43067655807339306,22,80
Content-Based,3453,80,0.0125,0.045454545454545456,0.43067655807339306,22,80
Content-Based,1510,5,0.0,0.0,0.0,4,80
Content-Based,1510,10,0.0,0.0,0.0,4,80
Content-Based,1510,20,0.0,0.0,0.0,4,80
Content-Based,1510,40,0.0,0.0,0.0,4,80
Content-Based,1510,80,0.0,0.0,0.0,4,80
Content-Based,4664,5,0.0,0.0,0.0,7,80
Content-Based,4664,10,0.0,0.0,0.0,7,80
Content-Based,4664,20,0.0,0.0,0.0,7,80
Content-Based,4664,40,0.0,0.0,0.0,7,80
Content-Based,4664,80,0.0,0.0,0.0,7,80
Content-Based,3169,5,0.0,0.0,0.0,13,80
Content-Based,3169,10,0.0,0.0,0.0,13,80
Content-Based,3169,20,0.0,0.0,0.0,13,80
Content-Based,3169,40,0.075,0.23076923076923078,0.26580143349788427,13,80
Content-Based,3169,80,0.0625,0.38461538461538464,0.31672891825607385,13,80
Content-Based,229,5,0.0,0.0,0.0,20,80
Content-Based,229,10,0.1,0.05,0.3562071871080222,20,80
Content-Based,229,20,0.05,0.05,0.3562071871080222,20,80
Content-Based,229,40,0.025,0.05,0.3562071871080222,20,80
Content-Based,229,80,0.0125,0.05,0.3562071871080222,20,80
Content-Based,531,5,0.0,0.0,0.0,59,80
Content-Based,531,10,0.0,0.0,0.0,59,80
Content-Based,531,20,0.0,0.0,0.0,59,80
Content-Based,531,40,0.0,0.0,0.0,59,80
Content-Based,531,80,0.0125,0.01694915254237288,0.1605440854340214,59,80
Content-Based,2379,5,0.0,0.0,0.0,4,80
Content-Based,2379,10,0.0,0.0,0.0,4,80
Content-Based,2379,20,0.0,0.0,0.0,4,80
Content-Based,2379,40,0.0,0.0,0.0,4,80
Content-Based,2379,80,0.0,0.0,0.0,4,80
Content-Based,1372,5,0.0,0.0,0.0,6,80
Content-Based,1372,10,0.0,0.0,0.0,6,80
Content-Based,1372,20,0.0,0.0,0.0,6,80
Content-Based,1372,40,0.025,0.16666666666666666,0.22424382421757544,6,80
Content-Based,1372,80,0.0125,0.16666666666666666,0.22424382421757544,6,80
Content-Based,4871,5,0.0,0.0,0.0,1,80
Content-Based,4871,10,0.0,0.0,0.0,1,80
Content-Based,4871,20,0.0,0.0,0.0,1,80
Content-Based,4871,40,0.0,0.0,0.0,1,80
Content-Based,4871,80,0.0,0.0,0.0,1,80
Content-Based,85,5,0.0,0.0,0.0,3,80
Content-Based,85,10,0.0,0.0,0.0,3,80
