model,userId,K,precision,recall,ndcg,num_relevant_test_items,num_recommendations
SVD Matrix Factorization,4223,20,0.1,0.16666666666666666,0.5525485729997712,12,80
SVD Matrix Factorization,4223,40,0.075,0.25,0.5143890492192175,12,80
SVD Matrix Factorization,4223,80,0.075,0.5,0.4824575531898901,12,80
SVD Matrix Factorization,1162,5,0.0,0.0,0.0,19,80
SVD Matrix Factorization,1162,10,0.2,0.10526315789473684,0.41183384043543503,19,80
SVD Matrix Factorization,1162,20,0.2,0.21052631578947367,0.4765967191844832,19,80
SVD Matrix Factorization,1162,40,0.175,0.3684210526315789,0.495629913953275,19,80
SVD Matrix Factorization,1162,80,0.1,0.42105263157894735,0.49694563025355126,19,80
SVD Matrix Factorization,1401,5,0.0,0.0,0.0,9,80
SVD Matrix Factorization,1401,10,0.0,0.0,0.0,9,80
SVD Matrix Factorization,1401,20,0.0,0.0,0.0,9,80
SVD Matrix Factorization,1401,40,0.0,0.0,0.0,9,80
SVD Matrix Factorization,1401,80,0.0125,0.1111111111111111,0.15773243839286438,9,80
SVD Matrix Factorization,4354,5,0.4,0.0273972602739726,0.5012658353418871,73,80
SVD Matrix Factorization,4354,10,0.3,0.0410958904109589,0.5316900945208328,73,80
SVD Matrix Factorization,4354,20,0.3,0.0821917808219178,0.561080832416311,73,80
SVD Matrix Factorization,4354,40,0.25,0.136986301369863,0.58473211546988,73,80
SVD Matrix Factorization,4354,80,0.2,0.2191780821917808,0.600245406980082,73,80
SVD Matrix Factorization,882,5,0.4,0.16666666666666666,0.8772153153380493,12,80
SVD Matrix Factorization,882,10,0.2,0.16666666666666666,0.8772153153380493,12,80
SVD Matrix Factorization,882,20,0.1,0.16666666666666666,0.8772153153380493,12,80
SVD Matrix Factorization,882,40,0.075,0.25,0.7712232695011955,12,80
SVD Matrix Factorization,882,80,0.05,0.3333333333333333,0.7135020851825814,12,80
SVD Matrix Factorization,5336,5,0.0,0.0,0.0,2,80
SVD Matrix Factorization,5336,10,0.1,0.5,0.3562071871080222,2,80
SVD Matrix Factorization,5336,20,0.05,0.5,0.3562071871080222,2,80
SVD Matrix Factorization,5336,40,0.025,0.5,0.3562071871080222,2,80
SVD Matrix Factorization,5336,80,0.025,1.0,0.32263731913814847,2,80
SVD Matrix Factorization,4798,5,0.2,0.0625,0.38685280723454163,16,80
SVD Matrix Factorization,4798,10,0.2,0.125,0.45560514958746035,16,80
SVD Matrix Factorization,4798,20,0.15,0.1875,0.45554305176534515,16,80
SVD Matrix Factorization,4798,40,0.1,0.25,0.4570297308050319,16,80
SVD Matrix Factorization,4798,80,0.075,0.375,0.4551376534872919,16,80
SVD Matrix Factorization,566,5,0.2,0.05263157894736842,0.5,19,80
SVD Matrix Factorization,566,10,0.1,0.05263157894736842,0.5,19,80
SVD Matrix Factorization,566,20,0.05,0.05263157894736842,0.5,19,80
SVD Matrix Factorization,566,40,0.05,0.10526315789473684,0.4234096599896984,19,80
SVD Matrix Factorization,566,80,0.05,0.21052631578947367,0.40689362925611094,19,80
SVD Matrix Factorization,756,5,0.2,0.5,0.6309297535714575,2,80
SVD Matrix Factorization,756,10,0.1,0.5,0.6309297535714575,2,80
SVD Matrix Factorization,756,20,0.05,0.5,0.6309297535714575,2,80
SVD Matrix Factorization,756,40,0.025,0.5,0.6309297535714575,2,80
SVD Matrix Factorization,756,80,0.0125,0.5,0.6309297535714575,2,80
SVD Matrix Factorization,2501,5,0.6,0.2,0.6797310500037655,15,80
SVD Matrix Factorization,2501,10,0.4,0.26666666666666666,0.6886007376100176,15,80
SVD Matrix Factorization,2501,20,0.35,0.4666666666666667,0.6939203364786298,15,80
SVD Matrix Factorization,2501,40,0.175,0.4666666666666667,0.6939203364786298,15,80
SVD Matrix Factorization,2501,80,0.0875,0.4666666666666667,0.6939203364786298,15,80
SVD Matrix Factorization,3696,5,0.2,0.05263157894736842,0.6309297535714575,19,80
SVD Matrix Factorization,3696,10,0.1,0.05263157894736842,0.6309297535714575,19,80
SVD Matrix Factorization,3696,20,0.1,0.10526315789473684,0.5525485729997712,19,80
SVD Matrix Factorization,3696,40,0.1,0.21052631578947367,0.5122386756925754,19,80
SVD Matrix Factorization,3696,80,0.0875,0.3684210526315789,0.5065751699606652,19,80
SVD Matrix Factorization,1878,5,0.0,0.0,0.0,13,80
SVD Matrix Factorization,1878,10,0.0,0.0,0.0,13,80
SVD Matrix Factorization,1878,20,0.05,0.07692307692307693,0.227670248696953,13,80
SVD Matrix Factorization,1878,40,0.05,0.15384615384615385,0.263358574664837,13,80
SVD Matrix Factorization,1878,80,0.025,0.15384615384615385,0.263358574664837,13,80
SVD Matrix Factorization,80,5,0.0,0.0,0.0,4,80
SVD Matrix Factorization,80,10,0.0,0.0,0.0,4,80
SVD Matrix Factorization,80,20,0.0,0.0,0.0,4,80
SVD Matrix Factorization,80,40,0.0,0.0,0.0,4,80
SVD Matrix Factorization,80,80,0.0125,0.25,0.1810425967800402,4,80
SVD Matrix Factorization,2339,5,0.2,0.25,0.38685280723454163,4,80
SVD Matrix Factorization,2339,10,0.1,0.25,0.38685280723454163,4,80
SVD Matrix Factorization,2339,20,0.05,0.25,0.38685280723454163,4,80
SVD Matrix Factorization,2339,40,0.05,0.5,0.3577189257782478,4,80
SVD Matrix Factorization,2339,80,0.025,0.5,0.3577189257782478,4,80
SVD Matrix Factorization,5592,5,0.4,0.1,0.9197207891481876,20,80
SVD Matrix Factorization,5592,10,0.4,0.2,0.8332128630752801,20,80
SVD Matrix Factorization,5592,20,0.25,0.25,0.8107018810271341,20,80
SVD Matrix Factorization,5592,40,0.175,0.35,0.7656946454581289,20,80
SVD Matrix Factorization,5592,80,0.125,0.5,0.732975480282505,20,80
SVD Matrix Factorization,2805,5,0.0,0.0,0.0,15,80
SVD Matrix Factorization,2805,10,0.0,0.0,0.0,15,80
SVD Matrix Factorization,2805,20,0.0,0.0,0.0,15,80
SVD Matrix Factorization,2805,40,0.025,0.06666666666666667,0.22424382421757544,15,80
SVD Matrix Factorization,2805,80,0.05,0.26666666666666666,0.29402547822161856,15,80
SVD Matrix Factorization,764,5,0.2,0.045454545454545456,1.0,22,80
SVD Matrix Factorization,764,10,0.2,0.09090909090909091,0.7903864795495061,22,80
